Division Number: 181
Division Date: 8 December 2020 - 17:40

Financial Assistance to Industry

Aye Count: 360
No Count: 16
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Simon Baynes","Conservative","Clwyd South","Aye","Stuart Andrew"
"Margaret Beckett","Labour","Derby South","No Vote Recorded",""
"Órfhlaith Begley","Sinn Féin","West Tyrone","No Vote Recorded",""
"Apsana Begum","Labour","Poplar and Limehouse","No Vote Recorded",""
"Aaron Bell","Conservative","Newcastle-under-Lyme","Aye",""
"Hilary Benn","Labour","Leeds Central","No Vote Recorded",""
"Scott Benton","Conservative","Blackpool South","Aye","Stuart Andrew"
"Paul Beresford","Conservative","Mole Valley","Aye","Stuart Andrew"
"Jake Berry","Conservative","Rossendale and Darwen","Aye","Stuart Andrew"
"Clive Betts","Labour","Sheffield South East","No Vote Recorded",""
"Saqib Bhatti","Conservative","Meriden","Aye","Stuart Andrew"
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","No Vote Recorded",""
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","No Vote Recorded",""
"Bob Blackman","Conservative","Harrow East","Aye","Stuart Andrew"
"Kirsty Blackman","Scottish National Party","Aberdeen North","No Vote Recorded",""
"Olivia Blake","Labour","Sheffield, Hallam","No Vote Recorded",""
"Paul Blomfield","Labour","Sheffield Central","No Vote Recorded",""
"Crispin Blunt","Conservative","Reigate","Aye","Stuart Andrew"
"Peter Bone","Conservative","Wellingborough","Aye","Stuart Andrew"
"Steven Bonnar","Scottish National Party","Coatbridge, Chryston and Bellshill","No Vote Recorded",""
"Peter Bottomley","Conservative","Worthing West","Aye",""
"Andrew Bowie","Conservative","West Aberdeenshire and Kincardine","Aye",""
"Tracy Brabin","Labour","Batley and Spen","No Vote Recorded",""
"Ben Bradley","Conservative","Mansfield","Aye","Stuart Andrew"
"Karen Bradley","Conservative","Staffordshire Moorlands","Aye","Stuart Andrew"
"Ben Bradshaw","Labour","Exeter","No Vote Recorded",""
"Mickey Brady","Sinn Féin","Newry and Armagh","No Vote Recorded",""
"Graham Brady","Conservative","Altrincham and Sale West","Aye",""
"Suella Braverman","Conservative","Fareham","Aye","Stuart Andrew"
"Kevin Brennan","Labour","Cardiff West","No Vote Recorded",""
"Jack Brereton","Conservative","Stoke-on-Trent South","Aye","Stuart Andrew"
"Andrew Bridgen","Conservative","North West Leicestershire","Aye","Stuart Andrew"
"Steve Brine","Conservative","Winchester","Aye",""
"Paul Bristow","Conservative","Peterborough","Aye",""
"Sara Britcliffe","Conservative","Hyndburn","Aye","Stuart Andrew"
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","No Vote Recorded",""
"James Brokenshire","Conservative","Old Bexley and Sidcup","Aye","Stuart Andrew"
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","No Vote Recorded",""
"Nicholas Brown","Labour","Newcastle upon Tyne East","No Vote Recorded",""
"Lyn Brown","Labour","West Ham","No Vote Recorded",""
"Anthony Browne","Conservative","South Cambridgeshire","Aye","Stuart Andrew"
"Fiona Bruce","Conservative","Congleton","Aye",""
"Chris Bryant","Labour","Rhondda","No Vote Recorded",""
"Felicity Buchan","Conservative","Kensington","Aye",""
"Karen Buck","Labour","Westminster North","No Vote Recorded",""
"Robert Buckland","Conservative","South Swindon","No Vote Recorded",""
"Alex Burghart","Conservative","Brentwood and Ongar","Aye","Stuart Andrew"
"Richard Burgon","Labour","Leeds East","No Vote Recorded",""
"Conor Burns","Conservative","Bournemouth West","Aye","Stuart Andrew"
"Dawn Butler","Labour","Brent Central","No Vote Recorded",""
"Rob Butler","Conservative","Aylesbury","Aye","Stuart Andrew"
"Ian Byrne","Labour","Liverpool, West Derby","No Vote Recorded",""
"Liam Byrne","Labour","Birmingham, Hodge Hill","No Vote Recorded",""
"Ruth Cadbury","Labour","Brentford and Isleworth","No Vote Recorded",""
"Alun Cairns","Conservative","Vale of Glamorgan","Aye","Stuart Andrew"
"Amy Callaghan","Scottish National Party","East Dunbartonshire","No Vote Recorded",""
"Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","No Vote Recorded",""
"Gregory Campbell","Democratic Unionist Party","East Londonderry","Aye","Gavin Robinson"
"Alan Campbell","Labour","Tynemouth","No Vote Recorded",""
"Dan Carden","Labour","Liverpool, Walton","No Vote Recorded",""
"Alistair Carmichael","Liberal Democrat","Orkney and Shetland","Teller - Noes",""
"Andy Carter","Conservative","Warrington South","Aye","Stuart Andrew"
"James Cartlidge","Conservative","South Suffolk","Aye","Stuart Andrew"
"William Cash","Conservative","Stone","Aye","Stuart Andrew"
"Miriam Cates","Conservative","Penistone and Stocksbridge","Aye","Stuart Andrew"
"Maria Caulfield","Conservative","Lewes","Aye",""
"Alex Chalk","Conservative","Cheltenham","Aye","Stuart Andrew"
"Wendy Chamberlain","Liberal Democrat","North East Fife","No",""
"Sarah Champion","Labour","Rotherham","No Vote Recorded",""
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","No Vote Recorded",""
"Bambos Charalambous","Labour","Enfield, Southgate","No Vote Recorded",""
"Joanna Cherry","Scottish National Party","Edinburgh South West","No Vote Recorded",""
"Rehman Chishti","Conservative","Gillingham and Rainham","Aye",""
"Christopher Chope","Conservative","Christchurch","No Vote Recorded",""
"Jo Churchill","Conservative","Bury St Edmunds","Aye","Stuart Andrew"
"Feryal Clark","Labour","Enfield North","No Vote Recorded",""
"Greg Clark","Conservative","Tunbridge Wells","Aye",""
"Brendan Clarke-Smith","Conservative","Bassetlaw","Aye","Stuart Andrew"
"Simon Clarke","Conservative","Middlesbrough South and East Cleveland","Aye","Stuart Andrew"
"Theo Clarke","Conservative","Stafford","Aye","Stuart Andrew"
"Chris Clarkson","Conservative","Heywood and Middleton","Aye","Stuart Andrew"
"James Cleverly","Conservative","Braintree","Aye","Stuart Andrew"
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","No Vote Recorded",""
"Thérèse Coffey","Conservative","Suffolk Coastal","Aye","Stuart Andrew"
"Elliot Colburn","Conservative","Carshalton and Wallington","Aye",""
"Damian Collins","Conservative","Folkestone and Hythe","Aye","Stuart Andrew"
"Daisy Cooper","Liberal Democrat","St Albans","No","Wendy Chamberlain"
"Rosie Cooper","Labour","West Lancashire","No Vote Recorded",""
"Yvette Cooper","Labour","Normanton, Pontefract and Castleford","No Vote Recorded",""
"Jeremy Corbyn","Independent","Islington North","No Vote Recorded",""
"Alberto Costa","Conservative","South Leicestershire","Aye","Stuart Andrew"
"Robert Courts","Conservative","Witney","Aye",""
"Claire Coutinho","Conservative","East Surrey","Aye","Stuart Andrew"
"Ronnie Cowan","Scottish National Party","Inverclyde","No Vote Recorded",""
"Geoffrey Cox","Conservative","Torridge and West Devon","Aye","Stuart Andrew"
"Neil Coyle","Labour","Bermondsey and Old Southwark","No Vote Recorded",""
"Stephen Crabb","Conservative","Preseli Pembrokeshire","No Vote Recorded",""
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","No Vote Recorded",""
"Stella Creasy","Labour","Walthamstow","No Vote Recorded",""
"Virginia Crosbie","Conservative","Ynys Môn","Aye","Stuart Andrew"
"Tracey Crouch","Conservative","Chatham and Aylesford","Aye","Rebecca Harris"
"Jon Cruddas","Labour","Dagenham and Rainham","No Vote Recorded",""
"John Cryer","Labour","Leyton and Wanstead","No Vote Recorded",""
"Judith Cummins","Labour","Bradford South","No Vote Recorded",""
"Alex Cunningham","Labour","Stockton North","No Vote Recorded",""
"Janet Daby","Labour","Lewisham East","No Vote Recorded",""
"James Daly","Conservative","Bury North","Aye","Stuart Andrew"
"Ed Davey","Liberal Democrat","Kingston and Surbiton","No","Wendy Chamberlain"
"Wayne David","Labour","Caerphilly","No Vote Recorded",""
"Alex Davies-Jones","Labour","Pontypridd","No Vote Recorded",""
"David T C Davies","Conservative","Monmouth","Aye",""
"James Davies","Conservative","Vale of Clwyd","Aye",""
"Gareth Davies","Conservative","Grantham and Stamford","Aye","Stuart Andrew"
"Geraint Davies","Labour","Swansea West","No Vote Recorded",""
"Mims Davies","Conservative","Mid Sussex","Aye","Stuart Andrew"
"Philip Davies","Conservative","Shipley","Aye","Stuart Andrew"
"David Davis","Conservative","Haltemprice and Howden","Aye","Stuart Andrew"
"Dehenna Davison","Conservative","Bishop Auckland","Aye",""
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","No Vote Recorded",""
"Marsha De Cordova","Labour","Battersea","No Vote Recorded",""
"Thangam Debbonaire","Labour","Bristol West","No Vote Recorded",""
"Tanmanjeet Singh Dhesi","Labour","Slough","No Vote Recorded",""
"Caroline Dinenage","Conservative","Gosport","Aye","Stuart Andrew"
"Sarah Dines","Conservative","Derbyshire Dales","Aye","Stuart Andrew"
"Jonathan Djanogly","Conservative","Huntingdon","Aye",""
"Martin Docherty-Hughes","Scottish National Party","West Dunbartonshire","No Vote Recorded",""
"Leo Docherty","Conservative","Aldershot","Aye",""
"Anneliese Dodds","Labour","Oxford East","No Vote Recorded",""
"Jeffrey M Donaldson","Democratic Unionist Party","Lagan Valley","Aye",""
"Michelle Donelan","Conservative","Chippenham","Aye","Stuart Andrew"
"Dave Doogan","Scottish National Party","Angus","No Vote Recorded",""
"Allan Dorans","Scottish National Party","Ayr, Carrick and Cumnock","No Vote Recorded",""
"Nadine Dorries","Conservative","Mid Bedfordshire","Aye","Stuart Andrew"
"Steve Double","Conservative","St Austell and Newquay","Aye","Stuart Andrew"
"Stephen Doughty","Labour","Cardiff South and Penarth","No Vote Recorded",""
"Peter Dowd","Labour","Bootle","No Vote Recorded",""
"Oliver Dowden","Conservative","Hertsmere","Aye","Stuart Andrew"
"Jackie Doyle-Price","Conservative","Thurrock","Aye",""
"Richard Drax","Conservative","South Dorset","Aye","Stuart Andrew"
"Jack Dromey","Labour","Birmingham, Erdington","No Vote Recorded",""
"Flick Drummond","Conservative","Meon Valley","Aye","Stuart Andrew"
"James Duddridge","Conservative","Rochford and Southend East","Aye","Stuart Andrew"
"Rosie Duffield","Labour","Canterbury","No Vote Recorded",""
"David Duguid","Conservative","Banff and Buchan","Aye",""
"Iain Duncan Smith","Conservative","Chingford and Woodford Green","Aye",""
"Philip Dunne","Conservative","Ludlow","Aye","Stuart Andrew"
"Maria Eagle","Labour","Garston and Halewood","No Vote Recorded",""
"Angela Eagle","Labour","Wallasey","No Vote Recorded",""
"Colum Eastwood","Social Democratic & Labour Party","Foyle","No Vote Recorded",""
"Mark Eastwood","Conservative","Dewsbury","Aye","Stuart Andrew"
"Jonathan Edwards","Independent","Carmarthen East and Dinefwr","No",""
"Ruth Edwards","Conservative","Rushcliffe","Aye","Stuart Andrew"
"Clive Efford","Labour","Eltham","No Vote Recorded",""
"Julie Elliott","Labour","Sunderland Central","No Vote Recorded",""
"Michael Ellis","Conservative","Northampton North","Aye","Stuart Andrew"
"Tobias Ellwood","Conservative","Bournemouth East","Aye","Stuart Andrew"
"Chris Elmore","Labour","Ogmore","No Vote Recorded",""
"Natalie Elphicke","Conservative","Dover","Aye","Stuart Andrew"
"Florence Eshalomi","Labour","Vauxhall","No Vote Recorded",""
"Bill Esterson","Labour","Sefton Central","No Vote Recorded",""
"George Eustice","Conservative","Camborne and Redruth","Aye","Stuart Andrew"
"Chris Evans","Labour","Islwyn","No Vote Recorded",""
"Luke Evans","Conservative","Bosworth","Aye","Stuart Andrew"
"Nigel Evans","Deputy Speaker","Ribble Valley","No Vote Recorded",""
"David Evennett","Conservative","Bexleyheath and Crayford","Aye","Stuart Andrew"
"Ben Everitt","Conservative","Milton Keynes North","Aye","Stuart Andrew"
"Michael Fabricant","Conservative","Lichfield","Aye","Stuart Andrew"
"Laura Farris","Conservative","Newbury","Aye","Stuart Andrew"
"Tim Farron","Liberal Democrat","Westmorland and Lonsdale","No",""
"Stephen Farry","Alliance","North Down","No","Wendy Chamberlain"
"Simon Fell","Conservative","Barrow and Furness","Aye","Stuart Andrew"
"Marion Fellows","Scottish National Party","Motherwell and Wishaw","No Vote Recorded",""
"Margaret Ferrier","Independent","Rutherglen and Hamilton West","No Vote Recorded",""
"John Finucane","Sinn Féin","Belfast North","No Vote Recorded",""
"Colleen Fletcher","Labour","Coventry North East","No Vote Recorded",""
"Katherine Fletcher","Conservative","South Ribble","Aye","Stuart Andrew"
"Mark Fletcher","Conservative","Bolsover","Aye",""
"Nick Fletcher","Conservative","Don Valley","Aye",""
"Stephen Flynn","Scottish National Party","Aberdeen South","No Vote Recorded",""
"Vicky Ford","Conservative","Chelmsford","Aye","Stuart Andrew"
"Kevin Foster","Conservative","Torbay","Aye","Stuart Andrew"
"Yvonne Fovargue","Labour","Makerfield","No Vote Recorded",""
"Liam Fox","Conservative","North Somerset","Aye","Stuart Andrew"
"Vicky Foxcroft","Labour","Lewisham, Deptford","No Vote Recorded",""
"Mary Kelly Foy","Labour","City of Durham","No Vote Recorded",""
"Mark Francois","Conservative","Rayleigh and Wickford","Aye","Stuart Andrew"
"Lucy Frazer","Conservative","South East Cambridgeshire","Aye","Stuart Andrew"
"George Freeman","Conservative","Mid Norfolk","Aye","Stuart Andrew"
"Mike Freer","Conservative","Finchley and Golders Green","Aye",""
"Richard Fuller","Conservative","North East Bedfordshire","Aye",""
"Gill Furniss","Labour","Sheffield, Brightside and Hillsborough","No Vote Recorded",""
"Marcus Fysh","Conservative","Yeovil","Aye","Stuart Andrew"
"Roger Gale","Conservative","North Thanet","Aye","Stuart Andrew"
"Barry Gardiner","Labour","Brent North","No Vote Recorded",""
"Mark Garnier","Conservative","Wyre Forest","Aye","Stuart Andrew"
"Nusrat Ghani","Conservative","Wealden","Aye","Stuart Andrew"
"Nick Gibb","Conservative","Bognor Regis and Littlehampton","Aye","Stuart Andrew"
"Patricia Gibson","Scottish National Party","North Ayrshire and Arran","No Vote Recorded",""
"Peter Gibson","Conservative","Darlington","Aye","Stuart Andrew"
"Jo Gideon","Conservative","Stoke-on-Trent Central","Aye","Stuart Andrew"
"Michelle Gildernew","Sinn Féin","Fermanagh and South Tyrone","No Vote Recorded",""
"Preet Kaur Gill","Labour","Birmingham, Edgbaston","No Vote Recorded",""
"Cheryl Gillan","Conservative","Chesham and Amersham","Aye","Stuart Andrew"
"Paul Girvan","Democratic Unionist Party","South Antrim","Aye",""
"John Glen","Conservative","Salisbury","Aye","Stuart Andrew"
"Mary Glindon","Labour","North Tyneside","No Vote Recorded",""
"Robert Goodwill","Conservative","Scarborough and Whitby","Aye","Stuart Andrew"
"Michael Gove","Conservative","Surrey Heath","Aye","Stuart Andrew"
"Patrick Grady","Scottish National Party","Glasgow North","No Vote Recorded",""
"Richard Graham","Conservative","Gloucester","Aye",""
"Helen Grant","Conservative","Maidstone and The Weald","Aye","Stuart Andrew"
"Peter Grant","Scottish National Party","Glenrothes","No Vote Recorded",""
"James Gray","Conservative","North Wiltshire","No Vote Recorded",""
"Neil Gray","Scottish National Party","Airdrie and Shotts","No Vote Recorded",""
"Chris Grayling","Conservative","Epsom and Ewell","Aye","Stuart Andrew"
"Chris Green","Conservative","Bolton West","Aye",""
"Damian Green","Conservative","Ashford","Aye","Stuart Andrew"
"Kate Green","Labour","Stretford and Urmston","No Vote Recorded",""
"Lilian Greenwood","Labour","Nottingham South","No Vote Recorded",""
"Margaret Greenwood","Labour","Wirral West","No Vote Recorded",""
"Andrew Griffith","Conservative","Arundel and South Downs","Aye","Stuart Andrew"
"Nia Griffith","Labour","Llanelli","No Vote Recorded",""
"Kate Griffiths","Conservative","Burton","Aye","Stuart Andrew"
"James Grundy","Conservative","Leigh","Aye","Stuart Andrew"
"Jonathan Gullis","Conservative","Stoke-on-Trent North","Aye","Stuart Andrew"
"Andrew Gwynne","Labour","Denton and Reddish","No Vote Recorded",""
"Louise Haigh","Labour","Sheffield, Heeley","No Vote Recorded",""
"Robert Halfon","Conservative","Harlow","Aye","Rebecca Harris"
"Luke Hall","Conservative","Thornbury and Yate","Aye","Stuart Andrew"
"Fabian Hamilton","Labour","Leeds North East","No Vote Recorded",""
"Stephen Hammond","Conservative","Wimbledon","Aye","Stuart Andrew"
"Matt Hancock","Conservative","West Suffolk","Aye","Stuart Andrew"
"Greg Hands","Conservative","Chelsea and Fulham","Aye","Stuart Andrew"
"Claire Hanna","Social Democratic & Labour Party","Belfast South","No",""
"Neale Hanvey","Scottish National Party","Kirkcaldy and Cowdenbeath","No Vote Recorded",""
"Emma Hardy","Labour","Kingston upon Hull West and Hessle","No Vote Recorded",""
"Harriet Harman","Labour","Camberwell and Peckham","No Vote Recorded",""
"Mark Harper","Conservative","Forest of Dean","Aye",""
"Carolyn Harris","Labour","Swansea East","No Vote Recorded",""
"Rebecca Harris","Conservative","Castle Point","Aye",""
"Trudy Harrison","Conservative","Copeland","Aye",""
"Sally-Ann Hart","Conservative","Hastings and Rye","Aye",""
"Simon Hart","Conservative","Carmarthen West and South Pembrokeshire","Aye","Stuart Andrew"
"Helen Hayes","Labour","Dulwich and West Norwood","No Vote Recorded",""
"John Hayes","Conservative","South Holland and The Deepings","Aye","Stuart Andrew"
"Chris Hazzard","Sinn Féin","South Down","No Vote Recorded",""
"Oliver Heald","Conservative","North East Hertfordshire","Aye","Stuart Andrew"
"John Healey","Labour","Wentworth and Dearne","No Vote Recorded",""
"James Heappey","Conservative","Wells","Aye","Stuart Andrew"
"Chris Heaton-Harris","Conservative","Daventry","Aye","Stuart Andrew"
"Gordon Henderson","Conservative","Sittingbourne and Sheppey","Aye","Stuart Andrew"
"Mark Hendrick","Labour","Preston","No Vote Recorded",""
"Drew Hendry","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey","No Vote Recorded",""
"Darren Henry","Conservative","Broxtowe","Aye",""
"Antony Higginbotham","Conservative","Burnley","Aye",""
"Mike Hill","Labour","Hartlepool","No Vote Recorded",""
"Meg Hillier","Labour","Hackney South and Shoreditch","No Vote Recorded",""
"Damian Hinds","Conservative","East Hampshire","Aye","Stuart Andrew"
"Simon Hoare","Conservative","North Dorset","Aye","Stuart Andrew"
"Wera Hobhouse","Liberal Democrat","Bath","No",""
"Margaret Hodge","Labour","Barking","No Vote Recorded",""
"Sharon Hodgson","Labour","Washington and Sunderland West","No Vote Recorded",""
"Richard Holden","Conservative","North West Durham","Aye","Stuart Andrew"
"Kate Hollern","Labour","Blackburn","No Vote Recorded",""
"Kevin Hollinrake","Conservative","Thirsk and Malton","Aye","Stuart Andrew"
"Philip Hollobone","Conservative","Kettering","Aye",""
"Adam Holloway","Conservative","Gravesham","Aye","Maria Caulfield"
"Paul Holmes","Conservative","Eastleigh","Aye",""
"Rachel Hopkins","Labour","Luton South","No Vote Recorded",""
"Stewart Hosie","Scottish National Party","Dundee East","No Vote Recorded",""
"George Howarth","Labour","Knowsley","No Vote Recorded",""
"John Howell","Conservative","Henley","Aye","Stuart Andrew"
"Paul Howell","Conservative","Sedgefield","Aye","Stuart Andrew"
"Lindsay Hoyle","Speaker","Chorley","No Vote Recorded",""
"Nigel Huddleston","Conservative","Mid Worcestershire","Aye","Stuart Andrew"
"Neil Hudson","Conservative","Penrith and The Border","Aye","Stuart Andrew"
"Eddie Hughes","Conservative","Walsall North","Aye",""
"Jane Hunt","Conservative","Loughborough","Aye","Stuart Andrew"
"Jeremy Hunt","Conservative","South West Surrey","Aye","Stuart Andrew"
"Tom Hunt","Conservative","Ipswich","Aye",""
"Rupa Huq","Labour","Ealing Central and Acton","No Vote Recorded",""
"Imran Hussain","Labour","Bradford East","No Vote Recorded",""
"Alister Jack","Conservative","Dumfries and Galloway","Aye","Stuart Andrew"
"Christine Jardine","Liberal Democrat","Edinburgh West","No",""
"Dan Jarvis","Labour","Barnsley Central","No Vote Recorded",""
"Sajid Javid","Conservative","Bromsgrove","Aye",""
"Ranil Jayawardena","Conservative","North East Hampshire","Aye","Stuart Andrew"
"Bernard Jenkin","Conservative","Harwich and North Essex","Aye",""
"Mark Jenkinson","Conservative","Workington","Aye","Stuart Andrew"
"Andrea Jenkyns","Conservative","Morley and Outwood","Aye","Stuart Andrew"
"Robert Jenrick","Conservative","Newark","Aye","Stuart Andrew"
"Boris Johnson","Conservative","Uxbridge and South Ruislip","Aye","Stuart Andrew"
"Diana Johnson","Labour","Kingston upon Hull North","No Vote Recorded",""
"Caroline Johnson","Conservative","Sleaford and North Hykeham","Aye","Stuart Andrew"
"Gareth Johnson","Conservative","Dartford","Aye","Stuart Andrew"
"Kim Johnson","Labour","Liverpool, Riverside","No Vote Recorded",""
"David Johnston","Conservative","Wantage","Aye",""
"Andrew Jones","Conservative","Harrogate and Knaresborough","Aye",""
"Darren Jones","Labour","Bristol North West","No Vote Recorded",""
"Fay Jones","Conservative","Brecon and Radnorshire","Aye","Stuart Andrew"
"Gerald Jones","Labour","Merthyr Tydfil and Rhymney","No Vote Recorded",""
"David Jones","Conservative","Clwyd West","Aye",""
"Kevan Jones","Labour","North Durham","No Vote Recorded",""
"Marcus Jones","Conservative","Nuneaton","Aye",""
"Ruth Jones","Labour","Newport West","No Vote Recorded",""
"Sarah Jones","Labour","Croydon Central","No Vote Recorded",""
"Simon Jupp","Conservative","East Devon","Aye",""
"Mike Kane","Labour","Wythenshawe and Sale East","No Vote Recorded",""
"Daniel Kawczynski","Conservative","Shrewsbury and Atcham","Aye","Stuart Andrew"
"Alicia Kearns","Conservative","Rutland and Melton","Aye","Stuart Andrew"
"Gillian Keegan","Conservative","Chichester","Aye","Stuart Andrew"
"Barbara Keeley","Labour","Worsley and Eccles South","No Vote Recorded",""
"Liz Kendall","Labour","Leicester West","No Vote Recorded",""
"Afzal Khan","Labour","Manchester, Gorton","No Vote Recorded",""
"Stephen Kinnock","Labour","Aberavon","No Vote Recorded",""
"Julian Knight","Conservative","Solihull","Aye","Stuart Andrew"
"Greg Knight","Conservative","East Yorkshire","Aye","Stuart Andrew"
"Danny Kruger","Conservative","Devizes","Aye",""
"Kwasi Kwarteng","Conservative","Spelthorne","Aye","Stuart Andrew"
"Peter Kyle","Labour","Hove","No Vote Recorded",""
"Eleanor Laing","Deputy Speaker","Epping Forest","No Vote Recorded",""
"Ben Lake","Plaid Cymru","Ceredigion","No",""
"David Lammy","Labour","Tottenham","No Vote Recorded",""
"John Lamont","Conservative","Berwickshire, Roxburgh and Selkirk","Aye","Stuart Andrew"
"Robert Largan","Conservative","High Peak","Aye",""
"Pauline Latham","Conservative","Mid Derbyshire","Aye","William Wragg"
"Ian Lavery","Labour","Wansbeck","No Vote Recorded",""
"Chris Law","Scottish National Party","Dundee West","No Vote Recorded",""
"Andrea Leadsom","Conservative","South Northamptonshire","Aye","Stuart Andrew"
"Edward Leigh","Conservative","Gainsborough","Aye","Stuart Andrew"
"Ian Levy","Conservative","Blyth Valley","Aye","Stuart Andrew"
"Emma Lewell-Buck","Labour","South Shields","No Vote Recorded",""
"Andrew Lewer","Conservative","Northampton South","Aye","Stuart Andrew"
"Brandon Lewis","Conservative","Great Yarmouth","Aye","Stuart Andrew"
"Clive Lewis","Labour","Norwich South","No Vote Recorded",""
"Julian Lewis","Independent","New Forest East","No Vote Recorded",""
"Ian Liddell-Grainger","Conservative","Bridgwater and West Somerset","Aye","Stuart Andrew"
"David Linden","Scottish National Party","Glasgow East","No Vote Recorded",""
"Tony Lloyd","Labour","Rochdale","No Vote Recorded",""
"Carla Lockhart","Democratic Unionist Party","Upper Bann","Aye","Ian Paisley"
"Chris Loder","Conservative","West Dorset","Aye",""
"Mark Logan","Conservative","Bolton North East","Aye","Stuart Andrew"
"Rebecca Long Bailey","Labour","Salford and Eccles","No Vote Recorded",""
"Marco Longhi","Conservative","Dudley North","Aye","Stuart Andrew"
"Julia Lopez","Conservative","Hornchurch and Upminster","Aye","Stuart Andrew"
"Jack Lopresti","Conservative","Filton and Bradley Stoke","Aye","Stuart Andrew"
"Jonathan Lord","Conservative","Woking","Aye","Stuart Andrew"
"Tim Loughton","Conservative","East Worthing and Shoreham","Aye",""
"Caroline Lucas","Green Party","Brighton, Pavilion","No","Bell Ribeiro-Addy"
"Holly Lynch","Labour","Halifax","No Vote Recorded",""
"Kenny MacAskill","Scottish National Party","East Lothian","No Vote Recorded",""
"Craig Mackinlay","Conservative","South Thanet","Aye","Stuart Andrew"
"Cherilyn Mackrory","Conservative","Truro and Falmouth","Aye","Stuart Andrew"
"Rachel Maclean","Conservative","Redditch","Aye","Stuart Andrew"
"Angus Brendan MacNeil","Scottish National Party","Na h-Eileanan an Iar","No Vote Recorded",""
"Justin Madders","Labour","Ellesmere Port and Neston","No Vote Recorded",""
"Khalid Mahmood","Labour","Birmingham, Perry Barr","No Vote Recorded",""
"Shabana Mahmood","Labour","Birmingham, Ladywood","No Vote Recorded",""
"Alan Mak","Conservative","Havant","Aye","Stuart Andrew"
"Seema Malhotra","Labour","Feltham and Heston","No Vote Recorded",""
"Kit Malthouse","Conservative","North West Hampshire","Aye","Stuart Andrew"
"Anthony Mangnall","Conservative","Totnes","Aye",""
"Scott Mann","Conservative","North Cornwall","Aye",""
"Julie Marson","Conservative","Hertford and Stortford","Aye","Stuart Andrew"
"Rachael Maskell","Labour","York Central","No Vote Recorded",""
"Paul Maskey","Sinn Féin","Belfast West","No Vote Recorded",""
